id,value
구본무, 20000
화수분, 19500
숙환, 19000
칸트의 도덕 법칙, 18500
구광모, 18000
장도연, 17500
문재인 케어, 17000
조작된 도시, 16500
김재욱, 16000
구자경, 15500
윤하, 15000
2018 드림콘서트, 14500
이엘, 14000
엑스맨 탄생 : 울버린, 13500
보락, 13000
도전골든벨, 12500
김권, 12000
잼라이브, 11500
이건희, 11000
최대집, 10500
